experiment,n_models,round,force_rmse_mean,force_rmse_std,energy_rmse_mean,samples
K=250 (4-model),2,1,0.3343909,0.02039754698139415,0.107753325,12
K=500 (4-model),4,1,0.3424055833333333,0.006267385803700327,0.11425281666666666,12
K=1000 (4-model),4,1,0.37149275000000004,0.014644048379347387,0.13389955,4
K=2000 (4-model),2,1,0.3367479666666667,0.013627189233382799,0.11266748333333333,12
K=1000 (2-model),2,1,0.34359433333333333,0.015549254632253815,0.11363643333333333,6
K=1000 (8-model),8,1,0.33916181666666667,0.020555053867107966,0.11035872083333334,24
K=250,4,3,0.34077673333333336,0.01410779782952633,0.11003825166666667,12
K=500,4,3,0.4146326,0.17903259630814822,3.5130682983333337,12
K=2000,4,3,0.3315408166666667,0.01755315260297515,0.10479977666666666,12
