round,strategy,force_rmse_mean,force_rmse_std,energy_rmse_mean,force_dev_max_mean
1,random,0.373406625,0.010133294426881866,0.11956560083333333,0.29341839282767296
2,random,0.3989599,0.03051906183188018,2.526886775,0.2632001243313624
3,random,0.606654975,0.38508848881314606,7.442140908333334,0.33291544699229564
