n_models,n_gpus,n_waves,total_wall_s,throughput_models_per_s,mean_model_wall_s,speedup_vs_g1,parallel_eff
4,1,4,100.485,0.03981,25.119,1.000,1.000
4,2,2,49.363,0.08103,24.657,2.036,1.018
4,4,1,25.954,0.15412,25.883,3.872,0.968
