n_models,n_gpus,n_waves,total_wall_s,throughput_models_per_s,mean_model_wall_s,speedup_vs_g1,parallel_eff
2,1,2,34.992,0.05716,17.495,1.000,1.000
2,2,1,17.902,0.11172,17.856,1.955,0.977
