n_models,n_gpus,n_waves,total_wall_s,throughput_models_per_s,mean_model_wall_s,speedup_vs_g1,parallel_eff
4,1,4,100.997,0.0396,25.247,1.000,1.000
4,2,2,49.837,0.08026,24.806,2.027,1.013
4,4,1,26.412,0.15145,26.047,3.824,0.956
