n_models,n_gpus,n_waves,total_wall_s,throughput_models_per_s,mean_model_wall_s,speedup_vs_g1,parallel_eff
4,1,4,100.939,0.03963,25.233,1.000,1.000
4,2,2,50.863,0.07864,25.332,1.985,0.992
4,4,1,25.855,0.15471,25.808,3.904,0.976
