n_models,n_gpus,n_waves,total_wall_s,throughput_models_per_s,mean_model_wall_s,speedup_vs_g1,parallel_eff
4,1,4,99.663,0.04014,24.914,1.000,1.000
4,2,2,50.005,0.07999,24.937,1.993,0.997
4,4,1,26.093,0.1533,26.09,3.820,0.955
