model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,3.63635800e+00,3.63638200e+00,1.19263200e-01,2.36469700e-01
model_001,1.50978000e+00,1.50981300e+00,9.62959200e-02,1.99255600e-01
model_002,1.27943200e+00,1.27944600e+00,5.77322700e-02,8.60317600e-02
model_003,9.64906400e-01,9.64927700e-01,1.03122200e-01,1.96801900e-01
mean,1.84761910e+00,1.84764218e+00,9.41033975e-02,1.79639740e-01
std,1.21322441e+00,1.21322579e+00,2.60897204e-02,6.49908198e-02
