branch,energy_rmse_mean,energy_rmse_std,force_rmse_mean,force_rmse_std,candidate_dev_mean,candidate_energy_dev_mean,candidate_dev_std
uncertainty,0.72929447275,0.5163556813113329,0.1617669075,0.07443975419127129,0.2693332649278699,0.447755444469801,
random_seed0,0.690885348,0.755990589623947,0.2553365575,0.17298520758825753,0.8387533587639975,0.6870853953068587,
random_seed1,0.248802891,0.4563934732149964,0.22883705,0.03565438451266079,0.4877952746196475,0.39672563449210163,
random_seed2,0.42841213775,0.5054376608546417,0.1494923,0.046690465725884554,0.3321378923388006,0.44625959880147825,
random_mean,0.4560334589166667,0.2223317964980118,0.21122196916666666,0.05507694632062699,0.5528955085741485,0.5100235428668128,0.2595059499337212
