model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,1.17942400e+00,1.17944300e+00,3.25304400e-02,6.36652100e-02
model_001,1.55866600e+00,1.55874700e+00,8.35105600e-02,1.95435300e-01
model_002,7.52100700e-01,7.52153900e-01,7.84822600e-02,1.61200300e-01
model_003,3.33965300e+00,3.33966600e+00,1.02046800e-01,1.46754700e-01
mean,1.70746093e+00,1.70750248e+00,7.41425150e-02,1.41763877e-01
std,1.13691499e+00,1.13689983e+00,2.95342037e-02,5.59246704e-02
