model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,1.034656e+00,1.034722e+00,9.435563e-02,1.450501e-01
model_001,8.921546e-03,1.650412e-02,8.231407e-02,2.141395e-01
model_002,6.553386e-01,6.554224e-01,5.737373e-02,1.356484e-01
model_003,6.905861e-03,7.000031e-03,3.840426e-02,1.031312e-01
Mean,4.264555e-01,4.284121e-01,6.811192e-02,1.494923e-01
Std,5.074944e-01,5.054377e-01,2.508842e-02,4.669047e-02
