model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,1.27779300e+00,1.27824100e+00,1.55333200e-01,2.93428900e-01
model_001,8.18992200e-01,8.19013000e-01,3.26750300e-02,7.05950300e-02
model_002,4.59827000e-01,4.59968000e-01,5.55847000e-02,1.41368500e-01
model_003,2.68320100e+00,2.68326000e+00,1.44117700e-01,2.46362800e-01
mean,1.30995330e+00,1.31012050e+00,9.69276575e-02,1.87938807e-01
std,9.74782208e-01,9.74760524e-01,6.18485995e-02,1.00796624e-01
