model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,2.39016100e+00,2.39017500e+00,9.63925100e-02,2.14086100e-01
model_001,1.23097200e+00,1.23254000e+00,8.96835200e-02,2.05855800e-01
model_002,3.64866000e+00,3.64867300e+00,9.94610500e-02,1.91387800e-01
model_003,6.38009000e-01,6.38066700e-01,1.33003800e-01,2.36987600e-01
mean,1.97695050e+00,1.97736368e+00,1.04635220e-01,2.12079325e-01
std,1.33099009e+00,1.33068488e+00,1.93480746e-02,1.90728496e-02
