seed,round_id,train_frames,candidate_frames,energy_rmse_mean,energy_rmse_std,force_rmse_mean,force_rmse_std,candidate_force_dev_max_mean,candidate_force_dev_max_max,candidate_force_dev_max_min,candidate_energy_dev_mean
seed0,003,230,20,1.369364e+00,1.044380e+00,2.373825e-01,7.212040e-02,1.578821e-01,2.274971e-01,4.174930e-02,1.493153e+00
seed1,003,230,20,1.707502e+00,1.136900e+00,1.417639e-01,5.592467e-02,1.352771e-01,2.358352e-01,2.511937e-02,1.823728e+00
seed2,003,230,20,1.310121e+00,9.747605e-01,1.879388e-01,1.007966e-01,1.239594e-01,1.967203e-01,7.834327e-02,1.492024e+00
mean,003,230,20,1.462329e+00,2.143827e-01,1.890284e-01,4.781861e-02,1.390395e-01,,,
