model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,4.75425000e-01,4.75542400e-01,7.39786700e-02,2.92770100e-01
model_001,1.22450200e+00,1.22459900e+00,1.63524800e-01,3.02748900e-01
model_002,9.10576200e-01,9.10654300e-01,7.65157900e-02,1.54951800e-01
model_003,2.86663900e+00,2.86666200e+00,8.05451700e-02,1.99059100e-01
mean,1.36928555e+00,1.36936442e+00,9.86411075e-02,2.37382475e-01
std,1.04441859e+00,1.04438017e+00,4.33402123e-02,7.21203988e-02
