seed,round_id,train_frames,candidate_frames,energy_rmse_mean,energy_rmse_std,force_rmse_mean,force_rmse_std,candidate_force_dev_max_mean,candidate_force_dev_max_max,candidate_force_dev_max_min,candidate_energy_dev_mean
seed0,001,210,40,6.908853e-01,7.559906e-01,2.553366e-01,1.729852e-01,3.554204e-01,1.586355e+00,8.666701e-02,6.565407e-01
seed1,001,210,40,2.488029e-01,4.563935e-01,2.288370e-01,3.565438e-02,4.877953e-01,1.262038e+00,3.274831e-01,3.967256e-01
seed2,001,210,40,4.284121e-01,5.054377e-01,1.494923e-01,4.669047e-02,3.321379e-01,1.117230e+00,1.393214e-01,4.462596e-01
mean,001,210,40,4.560334e-01,2.223318e-01,2.112220e-01,5.507694e-02,3.917845e-01,,,
