model,energy_mae,energy_rmse,force_mae,force_rmse
model_000,9.329410e-01,9.330507e-01,1.411521e-01,2.555631e-01
model_001,8.348906e-03,8.658584e-03,1.323872e-01,2.624681e-01
model_002,4.030327e-02,4.101113e-02,1.322618e-01,1.900886e-01
model_003,8.028637e-03,1.249115e-02,6.507066e-02,2.072284e-01
Mean,2.474055e-01,2.488029e-01,1.177179e-01,2.288370e-01
Std,4.572744e-01,4.563935e-01,3.534406e-02,3.565438e-02
