#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:52:28      0     28     33     33      0      0      0      0      -      -    877    420      0      0 
 11:52:28      1     31     32     30      0      0      0      0      -      -    877    420      0      0 
 11:52:29      0     28     33     33      0      0      0      0      -      -    877    420      0      0 
 11:52:29      1     31     32     30      0      0      0      0      -      -    877    420      0      0 
 11:52:30      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:30      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:52:31      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:31      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:33      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:33      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:34      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:34      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:35      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:35      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:36      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:36      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:37      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:37      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:38      0     43     33     33      0      0      0      0      -      -    877   1312      0      0 
 11:52:38      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:52:39      0     43     33     33      2      0      0      0      -      -    877   1312      0      0 
 11:52:39      1     46     33     30      0      0      0      0      -      -    877   1312      0      0 
